City,Gem. vraagprijs,%Δ Vraagprijs (t.o.v vorige maand),Verkochte woningen,%Δ Verkocht (t.o.v vorige maand),Gem. m2 prijs,%Δ M2 prijs (t.o.v vorige maand),% Vraagprijs overboden,%Δ Overboden (t.o.v vorige maand),Besteedbaar inkomen (per huishouden)
Veldhoven,"€ 359,000",-16.99%,12,-45.45%,"€ 3,333",-3.05%,8.41%,0.01%,"€ 42,000"
Best,"€ 615,000",68.49%,6,-33.33%,"€ 3,735",33.63%,8.14%,-1.24%,"€ 44,500"
Eindhoven,"€ 357,500",5.46%,51,-46.32%,"€ 3,571",8.18%,10.31%,1.01%,"€ 31,600"
