"City","gem_vraagprijs","perc_ver_vraagprijs","verk_woningen","perc_ver_verkocht","gem_m2prijs","perc_ver_m2prijs","perc_overboden","perc_ver_overboden","best_inkomen"
"Veldhoven",359000,-16.99,12,-45.45,3333,-3.05,8.41,0.01,42000
"Best",615000,68.49,6,-33.33,3735,33.63,8.14,-1.24,44500
"Eindhoven",357500,5.46,51,-46.32,3571,8.18,10.31,1.01,31600
